number,chromadb_id,name,product_id,category,manufacturer,material,product_type,thermal_conductivity,fire_classification,density,is_active,extraction_date
111,rockwool_product_155,ROCKWOOL Firerock,155,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
112,rockwool_product_156,ROCKWOOL Fixrock FB1,156,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
113,rockwool_product_158,ROCKWOOL Frontrock S,158,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
114,rockwool_product_159,ROCKWOOL FRONTROCK SUPER,159,Homlokzati hőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
115,rockwool_product_161,ROCKWOOL Klimarock,161,Gépészeti szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
116,rockwool_product_162,ROCKWOOL Monrock Max E,162,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
117,rockwool_product_163,ROCKWOOL Multirock Super,163,Magastető és tetőtér,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
118,rockwool_product_165,ROCKWOOL Rockfall és tervezési segédl,165,Építőipari szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
119,rockwool_product_100,ROCKWOOL Airrock ND FB1,100,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
120,rockwool_product_107,ROCKWOOL CONLIT tűzvédelmi rendszerek - részletes Te,107,Tűzvédelem,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
121,rockwool_product_123,ROCKWOOL Multirock Super,123,Magastető és tetőtér,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
122,rockwool_product_144,ROCKWOOL Airrock LD,144,Válaszfal szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
123,rockwool_product_167,ROCKWOOL Roofrock 40,167,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
124,rockwool_product_168,ROCKWOOL Roofrock 50,168,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
125,rockwool_product_169,ROCKWOOL Roofrock 60,169,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
126,rockwool_product_170,ROCKWOOL Steelrock 035 Plus,170,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
127,rockwool_product_171,ROCKWOOL Steelrock 040 Plus,171,Tetőszigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
128,rockwool_product_173,ROCKWOOL Steprock ND,173,Padló és födém szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
129,rockwool_product_174,ROCKWOOL Stroprock G,174,Padló és födém szigetelés,ROCKWOOL,kőzetgyapot,Hőszigetelő lemez,N/A,A1,N/A,True,2025-07-01
